Time,Nodes,Symptomatic
27,1,15.9543
27,2,0.944766
27,3,20.9625
27,4,15.9811
27,5,15.4198
27,6,12.2183
27,7,7.56173
27,8,22.6108
27,9,11.0922
27,10,9.86504
27,11,22.8187
27,12,19.7511
27,13,4.98076
27,14,18.8258
27,15,6.82313
27,16,29.2242
27,17,31.561
27,18,18.0915
27,19,31.1948
27,20,2.94525
27,21,18.6756
27,22,2.40356
27,23,15.7598
27,24,3.58327
27,25,4.67065
27,26,22.0516
27,27,8.43581
27,28,3.99665
27,29,8.20947
27,30,13.0036
27,31,17.3991
27,32,7.42378
27,33,23.665
27,34,18.0086
27,35,18.6869
27,36,14.4201
27,37,29.6162
27,38,21.3397
27,39,6.05496
27,40,25.9157
27,41,35.8813
27,42,18.6032
27,43,33.0984
27,44,12.7237
27,45,21.1394
27,46,15.7954
27,47,15.9576
28,1,13.7224
28,2,0.812664
28,3,18.0108
28,4,13.7441
28,5,13.2617
28,6,10.5058
28,7,6.50205
28,8,19.449
28,9,9.53727
28,10,8.48241
28,11,19.6241
28,12,16.9786
28,13,4.28254
28,14,16.1913
28,15,5.86672
28,16,25.124
28,17,27.1379
28,18,15.5604
28,19,26.8253
28,20,2.53245
28,21,16.0583
28,22,2.06695
28,23,13.5526
28,24,3.0807
28,25,4.01677
28,26,18.9613
28,27,7.25166
28,28,3.4355
28,29,7.05738
28,30,11.1795
28,31,14.9581
28,32,6.38414
28,33,20.3486
28,34,15.4812
28,35,16.0677
28,36,12.3964
28,37,25.4592
28,38,18.3514
28,39,5.20509
28,40,22.2834
28,41,30.8473
28,42,15.9932
28,43,28.4547
28,44,10.9382
28,45,18.1727
28,46,13.5819
28,47,13.7209
29,1,11.8205
29,2,0.700096
29,3,15.4949
29,4,11.8377
29,5,11.4226
29,6,9.04625
29,7,5.59897
29,8,16.7548
29,9,8.2121
29,10,7.30409
29,11,16.9018
29,12,14.6157
29,13,3.6875
29,14,13.9463
29,15,5.05165
29,16,21.6295
29,17,23.3685
29,18,13.4035
29,19,23.1016
29,20,2.18066
29,21,13.8277
29,22,1.78008
29,23,11.6717
29,24,2.65238
29,25,3.45954
29,26,16.3276
29,27,6.24242
29,28,2.95725
29,29,6.07548
29,30,9.62485
29,31,12.8778
29,32,5.49817
29,33,17.5222
29,34,13.3271
29,35,13.8356
29,36,10.6716
29,37,21.9162
29,38,15.8048
29,39,4.48077
29,40,19.1878
29,41,26.557
29,42,13.7688
29,43,24.497
29,44,9.41654
29,45,15.6442
29,46,11.6955
29,47,11.8147
30,1,10.1997
30,2,0.604172
30,3,13.3502
30,4,10.2132
30,5,9.85532
30,6,7.80237
30,7,4.82932
30,8,14.4589
30,9,7.0827
30,10,6.29987
30,11,14.5818
30,12,12.6017
30,13,3.18036
30,14,12.0332
30,15,4.35699
30,16,18.6511
30,17,20.1561
30,18,11.5655
30,19,19.9281
30,20,1.88084
30,21,11.9267
30,22,1.53561
30,23,10.0688
30,24,2.28733
30,25,2.98466
30,26,14.083
30,27,5.38223
30,28,2.54961
30,29,5.2386
30,30,8.29988
30,31,11.1047
30,32,4.74312
30,33,15.1135
30,34,11.4912
30,35,11.9333
30,36,9.20161
30,37,18.8964
30,38,13.6345
30,39,3.86342
30,40,16.5496
30,41,22.9004
30,42,11.873
30,43,21.1239
30,44,8.11961
30,45,13.4891
30,46,10.0879
30,47,10.19
