Time,Nodes,Symptomatic
18,17,43.1666
18,18,24.9479
18,19,42.7657
18,20,4.02106
18,21,25.558
18,22,3.29854
18,23,21.6255
18,24,4.86511
18,25,6.45248
18,26,30.2591
18,27,11.4326
18,28,5.40529
18,29,11.1252
18,30,17.6655
18,31,23.619
18,32,10.1822
18,33,32.4223
18,34,24.3974
18,35,25.5298
18,36,19.5565
18,37,40.1161
18,38,29.3126
18,39,8.19245
18,40,35.378
18,41,48.7094
18,42,25.2622
18,43,44.952
18,44,17.2709
18,45,28.6778
18,46,21.5958
18,47,20.8869
19,1,18.9129
19,2,1.11841
19,3,23.8121
19,4,18.8568
19,5,18.2228
19,6,14.31
19,7,8.8642
19,8,26.8944
19,9,12.9829
19,10,11.5889
19,11,26.9998
19,12,22.9312
19,13,5.82882
19,14,22.2417
19,15,7.99539
19,16,34.044
19,17,37.035
19,18,21.4045
19,19,36.6913
19,20,3.44992
19,21,21.9275
19,22,2.83001
19,23,18.5538
19,24,4.17415
19,25,5.53576
19,26,25.9603
19,27,9.8086
19,28,4.63751
19,29,9.54497
19,30,15.1563
19,31,20.2643
19,32,8.73598
19,33,27.8165
19,34,20.9321
19,35,21.9035
19,36,16.7786
19,37,34.4178
19,38,25.1489
19,39,7.02883
19,40,30.3531
19,41,41.7909
19,42,21.6739
19,43,38.5669
19,44,14.8176
19,45,24.6042
19,46,18.5284
19,47,17.927
20,1,16.2447
20,2,0.960662
20,3,20.4529
20,4,16.1968
20,5,15.6521
20,6,12.2913
20,7,7.61375
20,8,23.0999
20,9,11.1514
20,10,9.95385
20,11,23.1902
20,12,19.6963
20,13,5.00654
20,14,19.1042
20,15,6.86746
20,16,29.2413
20,17,31.8102
20,18,18.385
20,19,31.5152
20,20,2.96324
20,21,18.8339
20,22,2.43077
20,23,15.9364
20,24,3.58537
20,25,4.7546
20,26,22.2971
20,27,8.42475
20,28,3.98327
20,29,8.19846
20,30,13.0183
20,31,17.4056
20,32,7.50364
20,33,23.8918
20,34,17.9792
20,35,18.8135
20,36,14.4115
20,37,29.5623
20,38,21.601
20,39,6.0373
20,40,26.0713
20,41,35.8955
20,42,18.6163
20,43,33.1261
20,44,12.7271
20,45,21.133
20,46,15.9145
20,47,15.4048
21,1,13.971
21,2,0.826245
21,3,17.5906
21,4,13.9301
21,5,13.4615
21,6,10.5711
21,7,6.54822
21,8,19.8665
21,9,9.59075
21,10,8.56056
21,11,19.944
21,12,16.9398
21,13,4.30587
21,14,16.4307
21,15,5.90633
21,16,25.1488
21,17,27.3581
21,18,15.8121
